fold,smlar_naive,smlar_corrected
1,409.718014256726,29.59497766273862
2,392.9605874201575,27.377703240114503
3,447.91224249402745,29.06083333123608
4,310.5468418622387,28.908161314649416
5,420.0669768060833,26.466931968307605
