variant,cv_smlar_mean,cv_smlar_std,cv_y1,cv_y2,cv_y3,cv_mono_pct,ho_smlar,ho_y1,ho_y2,ho_y3,ho_mono_pct,cp_cov_y1,cp_cov_y2,cp_cov_y3,cp_width_y1,cp_width_y2,cp_width_y3,ho_best_epoch
A_full,31.65637121149259,2.3952684758465455,36.62424852816294,34.682651905756295,24.073003320137094,0.0,21.209359789413938,35.23715694806815,19.02145182565207,10.633638704194892,0.0,0.90452419292999,0.9107277049306035,0.9032896250287555,0.11894417925480347,0.0795882667887278,0.058869143181662954,31
B_no_attn,35.0819013406184,1.8797420057518706,40.307589867569384,39.33204347309983,26.12124355751883,0.0,24.64412720258704,37.308264687295846,23.566838445927687,14.134475937511048,0.0,0.9057510927076144,0.9231193926846102,0.9194386933517368,0.12702642826624283,0.08408461982978568,0.06207900456475558,43
C_no_distr,32.88148036626585,4.166798723536736,36.6475787425145,37.10188892218245,25.29870324854872,0.0,21.08722596447108,34.098160004046285,20.183374961928457,10.160976052701187,0.0,0.9119239322137872,0.9082125603864734,0.9156966490299823,0.12054529771196913,0.07800642193883153,0.058655677689471816,38
D_no_smlar,91.70632701478635,11.923553642062622,78.22691359244166,105.28737805632116,92.9383459990188,0.0,59.73004808666733,53.06902580749768,75.67766613194753,51.5500192259305,0.0,0.9106893643125528,0.9057357564603942,0.8908289241622576,0.21279558951288088,0.1518848085312971,0.10953232142198929,39
E_none,66.39053502298718,3.496981151650775,49.997839164629276,80.3586919104095,70.40093337734126,0.37267080745341613,67.72445274037355,54.53820352908709,88.34265604602976,62.10805703812405,0.0,0.9082739053753546,0.8995859213250517,0.9032972931523655,0.1381421923469076,0.09809877842042466,0.07346892893651917,36
