variant,fold,smlar,best_epoch,smlar_y1,smlar_y2,smlar_y3,monotone_violation,mono_y1_vs_y2,mono_y2_vs_y3,time_s
A_full,0,35.947396687597454,44,36.4643346740289,39.1264124662785,32.33780832022526,0.0,0.0,0.0,166.7679398059845
A_full,1,29.34345150927431,34,37.01578369517602,30.076192427624804,21.412925175496312,0.0,0.0,0.0,166.09153366088867
A_full,2,29.762543795689144,46,33.692085723085285,35.21060221551646,20.873641487782457,0.0,0.0,0.0,166.52578997612
A_full,3,32.43090959114887,45,39.98801759407402,33.53292101497498,24.247847391888367,0.0,0.0,0.0,167.32649898529053
A_full,4,30.797554473753188,43,35.96102095445048,35.467131404386755,21.492794225293068,0.0,0.0,0.0,167.9107038974762
B_no_attn,0,37.360652148748926,41,40.419025733310534,39.8917598769176,31.937710328631574,0.0,0.0,0.0,14.665285110473633
B_no_attn,1,32.09478545378317,37,36.21494292618672,35.91594954833155,24.49784818223577,0.0,0.0,0.0,14.662646770477295
B_no_attn,2,36.444193077704234,46,41.51294413851006,42.06996232382589,26.347525318041875,0.0,0.0,0.0,14.618382930755615
B_no_attn,3,33.89414341926364,40,42.80137778520601,37.09555901614665,22.610865827608585,0.0,0.0,0.0,14.723301887512207
B_no_attn,4,35.61573260359205,41,40.589658754633604,41.6869866002775,25.212268131076332,0.0,0.0,0.0,15.016161918640137
C_no_distr,0,39.70451644239306,43,38.96128958426728,43.30372883060696,36.92413703336464,0.0,0.0,0.0,165.35661602020264
C_no_distr,1,27.85190150051049,41,32.80306277163152,30.2883486210757,20.783581711067335,0.0,0.0,0.0,1363.9370639324188
C_no_distr,2,31.150709015042445,39,35.257803314321,36.40593525768077,22.268991707609608,0.0,0.0,0.0,171.8606822490692
C_no_distr,3,30.404422927528074,34,36.56876135085005,33.37553398110449,21.744520410071377,0.0,0.0,0.0,171.50761795043945
C_no_distr,4,35.29585194585518,34,39.64697669150263,42.1358979204443,24.772285380630656,0.0,0.0,0.0,170.87778306007385
D_no_smlar,0,102.61280413978646,37,72.80815215932772,122.79291594354164,116.04044223268737,0.0,0.0,0.0,173.8755819797516
D_no_smlar,1,68.6743877030177,45,54.41928772627029,81.64835634408934,71.08597517558712,0.0,0.0,0.0,1400.9635591506958
D_no_smlar,2,96.24252454964304,43,85.1304026984668,110.33869457445977,94.08074317014012,0.0,0.0,0.0,176.1106662750244
D_no_smlar,3,93.04549314437949,27,89.67338297518029,104.32400198531755,85.63216271244826,0.0,0.0,0.0,181.4630148410797
D_no_smlar,4,97.95642553710499,24,89.10334240296321,107.33292143419746,97.85240670423103,0.0,0.0,0.0,173.02466797828674
E_none,0,69.00379188758616,42,46.4593984550927,86.50469300006145,76.71863003921706,0.0,0.0,0.0,15.12235403060913
E_none,1,67.43864952921872,46,54.04506490019403,81.12881483446384,68.24098514606698,0.006211180124223602,0.0,0.006211180124223602,15.402034997940063
E_none,2,69.83271513305644,43,50.82421316167929,89.5607943534267,71.33436134234994,0.006211180124223602,0.0,0.006211180124223602,15.626766920089722
E_none,3,65.67934942240299,32,51.764479840958266,72.87638192010033,73.34021827904418,0.0,0.0,0.0,16.122336626052856
E_none,4,59.99816914267162,45,46.896039465222096,71.72277544399519,62.37047208002815,0.006211180124223602,0.0,0.006211180124223602,14.430824995040894
